Features,R2,MAE
All 15,0.9553268530954311,5.0812042307991625
phase_slope_low,0.666156121612961,12.298878857902583
spec_std_high,0.5090934226394771,15.58859636574102
spec_centroid,0.3930734933305635,18.4246974102253
spec_mean_low,0.22891795710630836,20.412265114441013
snr_db,0.17109894922249347,22.31442200040688
dt_pos,0.08912837594593792,23.823282276711396
delta_rms,0.03555601513264184,24.330833217295755
phase_slope_mid,-0.0027306635090018627,21.85422078756851
fall_time,-0.08150568188393725,25.432945879332166
env_fwhm,-0.18956870558832706,27.585185218513352
amp_ratio_neg,-0.23257540590658876,27.89453415943608
amp_ratio_pos,-0.24272117185386977,27.8556003872096
spec_std_mid,-0.2701335656679935,28.214140182337683
rise_time,-0.308887760221388,28.322731070005858
env_asymmetry,-0.4655268630532763,31.519371547387188
