Temperature (C),dt_avg (fs),n@0.45THz,n@1.09THz,n@1.63THz,alpha@0.45THz (cm-1),eps'@0.45THz,Porosity (%)
20,44.6 ± 2.7,1.4282 ± 0.0183,1.3548 ± 0.0263,1.3417 ± 0.0273,0.4,2.0396,44.0
30,45.0 ± 1.5,1.4230 ± 0.0117,1.3578 ± 0.0222,1.3361 ± 0.0225,0.0,2.0248,45.0
40,42.1 ± 1.9,1.3978 ± 0.0122,1.3325 ± 0.0107,1.3083 ± 0.0125,0.9,1.9540,49.7
50,39.4 ± 1.7,1.3775 ± 0.0140,1.3321 ± 0.0069,1.3014 ± 0.0148,0.6,1.8975,53.5
60,40.0 ± 2.1,1.3790 ± 0.0141,1.3354 ± 0.0183,1.3077 ± 0.0209,0.5,1.9015,53.3
70,39.6 ± 1.6,1.3751 ± 0.0147,1.3357 ± 0.0197,1.3033 ± 0.0170,0.4,1.8908,54.0
80,39.0 ± 2.0,1.3688 ± 0.0129,1.3273 ± 0.0163,1.2974 ± 0.0124,0.4,1.8736,55.2
90,39.3 ± 1.3,1.3728 ± 0.0143,1.3351 ± 0.0133,1.3029 ± 0.0081,0.2,1.8847,54.4
100,37.0 ± 1.2,1.3515 ± 0.0113,1.3112 ± 0.0137,1.2800 ± 0.0056,0.4,1.8265,58.5
110,38.7 ± 2.2,1.3663 ± 0.0140,1.3150 ± 0.0148,1.2945 ± 0.0099,0.0,1.8668,55.7
