Temperature (C),S1,S2,S3,S4,S5,Mean,sigma
20,1.3981,1.4404,1.4199,1.4308,1.4516,1.4282,0.0183
30,1.4032,1.4351,1.4169,1.4273,1.4323,1.4230,0.0117
40,1.3939,1.4195,1.3845,1.3898,1.4016,1.3978,0.0122
50,1.3806,1.3999,1.3561,1.3736,1.3774,1.3775,0.0140
60,1.3850,1.4036,1.3683,1.3650,1.3728,1.3790,0.0141
70,1.3818,1.3999,1.3570,1.3694,1.3672,1.3751,0.0147
80,1.3693,1.3906,1.3503,1.3683,1.3654,1.3688,0.0129
90,1.3722,1.3948,1.3503,1.3695,1.3775,1.3728,0.0143
100,1.3590,1.3625,1.3306,1.3497,1.3556,1.3515,0.0113
110,1.3661,1.3863,1.3441,1.3612,1.3739,1.3663,0.0140
