Temperature (C),n_S1S3,n_S4S5,delta_n,t-statistic,p-value,Significance
20,1.4195 ± 0.0172,1.4412 ± 0.0104,-0.0217,-1.236,3.043e-01,ns
30,1.4184 ± 0.0131,1.4298 ± 0.0025,-0.0114,-0.943,4.154e-01,ns
40,1.3993 ± 0.0148,1.3957 ± 0.0059,+0.0036,0.255,8.155e-01,ns
50,1.3789 ± 0.0179,1.3755 ± 0.0019,+0.0034,0.205,8.510e-01,ns
60,1.3857 ± 0.0144,1.3689 ± 0.0039,+0.0168,1.244,3.018e-01,ns
70,1.3796 ± 0.0176,1.3683 ± 0.0011,+0.0112,0.698,5.355e-01,ns
80,1.3701 ± 0.0165,1.3669 ± 0.0014,+0.0032,0.213,8.453e-01,ns
90,1.3724 ± 0.0182,1.3735 ± 0.0040,-0.0011,-0.064,9.529e-01,ns
100,1.3507 ± 0.0143,1.3527 ± 0.0030,-0.0020,-0.150,8.906e-01,ns
110,1.3655 ± 0.0172,1.3675 ± 0.0063,-0.0020,-0.123,9.100e-01,ns
